00.11.053,-65,-69,-61,-61,-63,-67,-65,-77,-75,-43,-61,-53,-67,-65,-61,-60,-60,-79,-53,-59,-49,-51,-63,-63,-60,-60,-59,-49
00.11.053,-65,-69,-61,-61,-63,-67,-65,-77,-75,-43,-61,-45,-67,-65,-61,-60,-60,-69,-53,-59,-49,-51,-59,-63,-60,-60,-59,-49
00.11.053,-63,-69,-61,-61,-65,-67,-65,-77,-71,-43,-63,-49,-65,-67,-63,-60,-60,-79,-53,-57,-47,-49,-63,-65,-60,-60,-61,-43
00.11.053,-71,-69,-57,-61,-61,-67,-61,-77,-71,-37,-63,-47,-67,-63,-61,-60,-60,-75,-51,-55,-43,-43,-63,-63,-60,-60,-61,-43
00.11.053,-69,-63,-49,-49,-45,-67,-51,-77,-51,-31,-61,-41,-57,-59,-45,-61,-53,-65,-43,-55,-39,-43,-53,-55,-69,-60,-61,-41
00.11.053,-53,-69,-41,-45,-49,-67,-45,-77,-61,-45,-61,-49,-55,-49,-51,-65,-53,-71,-47,-39,-53,-39,-57,-55,-69,-60,-53,-47
00.11.053,-47,-65,-41,-45,-51,-67,-45,-77,-63,-45,-61,-49,-55,-47,-61,-71,-53,-75,-47,-39,-43,-39,-57,-61,-69,-61,-51,-47
00.11.053,-47,-65,-45,-49,-53,-61,-45,-69,-67,-33,-59,-49,-45,-47,-61,-71,-61,-75,-43,-43,-45,-31,-61,-61,-69,-61,-53,-41
00.11.053,-51,-65,-47,-47,-51,-61,-51,-69,-67,-45,-59,-49,-45,-47,-61,-71,-61,-75,-47,-41,-45,-37,-61,-61,-69,-61,-53,-41
00.11.053,-49,-60,-45,-45,-55,-60,-49,-67,-61,-37,-59,-45,-49,-49,-57,-69,-65,-71,-45,-45,-41,-29,-57,-61,-69,-60,-53,-60
00.11.053,-55,-67,-43,-53,-57,-60,-47,-67,-61,-43,-59,-45,-49,-49,-55,-75,-65,-73,-45,-47,-45,-33,-55,-59,-61,-60,-61,-41
00.11.053,-53,-67,-53,-65,-57,-60,-57,-67,-61,-45,-63,-57,-59,-65,-55,-75,-65,-73,-53,-47,-55,-49,-67,-59,-61,-60,-61,-41
00.11.053,-47,-67,-51,-47,-57,-60,-55,-67,-69,-35,-63,-51,-51,-53,-55,-73,-65,-71,-45,-43,-43,-43,-55,-61,-61,-60,-59,-41
00.11.053,-51,-67,-41,-47,-49,-60,-55,-67,-69,-41,-59,-45,-53,-53,-49,-65,-65,-71,-47,-39,-43,-41,-55,-49,-61,-60,-59,-43
00.11.053,-49,-67,-43,-57,-49,-60,-45,-67,-55,-41,-57,-47,-49,-49,-59,-61,-55,-67,-47,-39,-43,-39,-49,-51,-67,-60,-47,-45
00.11.053,-49,-67,-43,-57,-49,-60,-45,-67,-55,-47,-57,-47,-49,-51,-59,-71,-55,-71,-41,-39,-47,-39,-61,-51,-67,-60,-47,-43
00.11.053,-63,-67,-49,-57,-51,-60,-55,-67,-55,-41,-57,-47,-57,-51,-59,-71,-55,-69,-43,-39,-47,-47,-61,-51,-67,-60,-47,-43
00.11.053,-61,-67,-49,-55,-51,-60,-51,-67,-55,-41,-59,-59,-59,-55,-59,-71,-55,-73,-43,-53,-47,-47,-59,-51,-67,-60,-61,-51
00.11.053,-55,-67,-61,-67,-51,-60,-59,-67,-55,-55,-79,-75,-59,-71,-59,-71,-55,-81,-61,-45,-59,-59,-59,-51,-67,-60,-61,-63
00.11.053,-69,-67,-61,-55,-51,-60,-65,-67,-55,-55,-63,-63,-59,-59,-59,-81,-55,-81,-63,-51,-59,-41,-65,-51,-67,-60,-61,-47
00.11.053,-51,-67,-51,-47,-59,-59,-57,-73,-65,-47,-55,-47,-59,-63,-59,-73,-63,-67,-55,-47,-45,-31,-59,-57,-75,-69,-59,-39
00.11.053,-59,-67,-55,-53,-63,-57,-57,-69,-73,-41,-61,-47,-51,-59,-59,-75,-61,-69,-51,-53,-49,-37,-59,-61,-77,-71,-57,-43
00.11.053,-69,-65,-61,-61,-67,-65,-57,-77,-63,-41,-61,-55,-53,-63,-59,-71,-67,-69,-59,-49,-49,-51,-67,-63,-71,-71,-63,-39
00.11.053,-55,-65,-37,-43,-47,-65,-55,-77,-65,-47,-65,-45,-69,-57,-63,-77,-67,-65,-51,-49,-51,-39,-55,-53,-63,-71,-47,-43
00.11.053,-55,-71,-57,-53,-47,-65,-55,-73,-71,-39,-63,-47,-63,-59,-61,-75,-73,-71,-41,-49,-43,-43,-61,-57,-73,-73,-61,-49
00.11.053,-57,-71,-51,-47,-57,-61,-51,-73,-69,-51,-69,-53,-49,-55,-63,-77,-61,-69,-53,-53,-59,-39,-63,-63,-77,-73,-63,-49
00.11.053,-49,-71,-43,-53,-57,-61,-51,-73,-69,-47,-61,-49,-61,-53,-55,-77,-61,-65,-47,-55,-53,-39,-57,-63,-77,-73,-49,-51
00.11.053,-61,-71,-43,-57,-57,-61,-65,-73,-69,-47,-73,-67,-61,-53,-55,-77,-61,-85,-47,-61,-61,-55,-57,-63,-77,-73,-49,-51
00.11.053,-51,-71,-45,-49,-49,-61,-57,-73,-63,-37,-61,-53,-57,-53,-51,-77,-61,-69,-47,-61,-47,-47,-59,-63,-77,-73,-49,-53
00.11.053,-47,-75,-45,-53,-61,-67,-55,-71,-65,-45,-63,-51,-61,-51,-57,-69,-67,-73,-41,-43,-49,-41,-61,-65,-77,-71,-59,-43
00.11.053,-45,-75,-53,-51,-65,-67,-53,-71,-63,-39,-59,-49,-55,-57,-49,-71,-67,-67,-51,-43,-51,-41,-63,-59,-79,-71,-59,-47
00.11.053,-51,-75,-49,-47,-53,-67,-51,-71,-67,-39,-63,-51,-57,-55,-49,-59,-67,-73,-53,-43,-47,-39,-57,-59,-79,-71,-59,-49
00.11.053,-51,-65,-49,-45,-47,-65,-47,-67,-71,-39,-59,-51,-47,-63,-61,-73,-65,-75,-43,-43,-43,-43,-57,-59,-69,-75,-61,-43
00.11.053,-49,-67,-47,-43,-47,-61,-45,-65,-71,-41,-59,-51,-49,-59,-63,-71,-65,-73,-43,-43,-45,-41,-55,-61,-71,-75,-59,-43
00.11.053,-49,-67,-47,-43,-47,-61,-45,-65,-71,-41,-59,-53,-49,-59,-63,-71,-65,-67,-43,-43,-45,-41,-55,-61,-71,-75,-59,-43
00.11.053,-53,-67,-49,-43,-47,-63,-45,-67,-73,-41,-57,-49,-49,-59,-59,-75,-67,-73,-41,-41,-41,-41,-55,-59,-73,-75,-59,-41
